ncalls           , tottime, percall, cumtime , percall, filename:lineno(function)
5586             , 0.006  , 0.000  , 0.006   , 0.000  , {method 'pop' of 'collections.OrderedDict' objects}
5373             , 0.001  , 0.000  , 0.001   , 0.000  , {method 'keys' of 'collections.OrderedDict' objects}
4786326          , 0.522  , 0.000  , 0.522   , 0.000  , {method 'values' of 'collections.OrderedDict' objects}
16334            , 0.003  , 0.000  , 0.003   , 0.000  , {method 'items' of 'collections.OrderedDict' objects}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'move_to_end' of 'collections.OrderedDict' objects}
2153776          , 0.653  , 0.000  , 0.653   , 0.000  , {method 'values' of 'mappingproxy' objects}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'setter' of 'property' objects}
2                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'read' of '_io.TextIOWrapper' objects}
2                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'close' of '_io.BufferedReader' objects}
4                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'fileno' of '_io.BufferedReader' objects}
2                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'close' of '_io.BufferedWriter' objects}
5585             , 5.328  , 0.001  , 5.328   , 0.001  , {method 'write' of '_io.BufferedWriter' objects}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'flush' of '_io.BufferedWriter' objects}
38               , 0.000  , 0.000  , 0.000   , 0.000  , {method 'close' of '_io.BufferedRandom' objects}
38               , 0.000  , 0.000  , 0.000   , 0.000  , {method 'fileno' of '_io.BufferedRandom' objects}
76               , 0.000  , 0.000  , 0.000   , 0.000  , {method 'flush' of '_io.BufferedRandom' objects}
6                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'read' of '_io.FileIO' objects}
41               , 0.002  , 0.000  , 0.002   , 0.000  , {built-in method io.open}
2                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _locale.nl_langinfo}
14               , 0.000  , 0.000  , 0.000   , 0.000  , {method 'acquire' of '_thread.RLock' objects}
14               , 0.000  , 0.000  , 0.000   , 0.000  , {method 'release' of '_thread.RLock' objects}
15               , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _thread.allocate_lock}
5600             , 0.002  , 0.000  , 0.002   , 0.000  , {built-in method _thread.get_ident}
50341            , 0.023  , 0.000  , 0.023   , 0.000  , {built-in method time.time}
267869           , 0.059  , 0.000  , 0.059   , 0.000  , {built-in method time.perf_counter}
2                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _stat.S_ISREG}
1475386          , 0.146  , 0.000  , 0.146   , 0.000  , {built-in method _stat.S_ISLNK}
3                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _abc._abc_init}
1561325          , 0.961  , 0.000  , 0.961   , 0.000  , {built-in method _abc._abc_instancecheck}
88/24            , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _abc._abc_subclasscheck}
11171            , 0.003  , 0.000  , 0.003   , 0.000  , {built-in method _operator.index}
2                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _codecs.utf_8_decode}
350905           , 0.452  , 0.000  , 0.452   , 0.000  , {method 'match' of 're.Pattern' objects}
22               , 0.000  , 0.000  , 0.000   , 0.000  , {method 'search' of 're.Pattern' objects}
2                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _sre.compile}
22               , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method posix.stat}
1475386          , 3.653  , 0.000  , 3.653   , 0.000  , {built-in method posix.lstat}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method posix.waitpid}
5                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method posix.close}
3                , 0.013  , 0.004  , 0.013   , 0.004  , {built-in method posix.read}
4                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method posix.pipe}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method posix.WIFSIGNALED}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method posix.WIFEXITED}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method posix.WEXITSTATUS}
2213302          , 0.248  , 0.000  , 0.248   , 0.000  , {built-in method posix.fspath}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method gc.collect}
5623             , 0.004  , 0.000  , 0.004   , 0.000  , {built-in method sys._getframe}
99               , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method sys.intern}
2                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method sys.is_finalizing}
6                , 0.001  , 0.000  , 0.001   , 0.000  , {built-in method marshal.loads}
35               , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _imp.acquire_lock}
35               , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _imp.release_lock}
7                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _imp.is_frozen}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _imp.create_dynamic}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _imp.exec_dynamic}
6                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _imp._fix_co_filename}
10               , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method builtins.__build_class__}
5/4              , 0.000  , 0.000  , 0.003   , 0.001  , {built-in method builtins.__import__}
577248           , 0.097  , 0.000  , 0.097   , 0.000  , {built-in method builtins.abs}
158470           , 0.156  , 0.000  , 0.575   , 0.000  , {built-in method builtins.all}
3299881          , 2.475  , 0.000  , 4.733   , 0.000  , {built-in method builtins.any}
3020422          , 0.304  , 0.000  , 0.304   , 0.000  , {built-in method builtins.callable}
4                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method builtins.chr}
6/4              , 0.000  , 0.000  , 0.001   , 0.000  , {built-in method builtins.exec}
14563294         , 4.571  , 0.000  , 4.973   , 0.000  , {built-in method builtins.getattr}
3105172          , 2.270  , 0.000  , 2.290   , 0.000  , {built-in method builtins.hasattr}
723288/501441    , 0.297  , 0.000  , 1.153   , 0.000  , {built-in method builtins.hash}
8432968          , 0.819  , 0.000  , 0.819   , 0.000  , {built-in method builtins.id}
25661412         , 5.411  , 0.000  , 6.915   , 0.000  , {built-in method builtins.isinstance}
1540329          , 0.273  , 0.000  , 0.273   , 0.000  , {built-in method builtins.issubclass}
5942689          , 1.641  , 0.000  , 1.641   , 0.000  , {built-in method builtins.iter}
9851168/9826653  , 1.430  , 0.000  , 1.453   , 0.000  , {built-in method builtins.len}
1438069          , 0.979  , 0.000  , 1.169   , 0.000  , {built-in method builtins.max}
533062           , 0.471  , 0.000  , 0.471   , 0.000  , {built-in method builtins.min}
16561285         , 3.549  , 0.000  , 11.395  , 0.000  , {built-in method builtins.next}
20               , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method builtins.ord}
5585             , 0.115  , 0.000  , 0.115   , 0.000  , {built-in method builtins.print}
581420           , 1.207  , 0.000  , 1.207   , 0.000  , {built-in method builtins.round}
2619668          , 0.595  , 0.000  , 0.645   , 0.000  , {built-in method builtins.setattr}
216963           , 2.523  , 0.000  , 2.860   , 0.000  , {built-in method builtins.sorted}
40572            , 0.045  , 0.000  , 0.085   , 0.000  , {built-in method builtins.sum}
447388           , 0.126  , 0.000  , 0.126   , 0.000  , {built-in method builtins.vars}
3                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method _warnings._filters_mutated}
23               , 0.000  , 0.000  , 0.000   , 0.000  , {method 'encode' of 'str' objects}
65415            , 0.042  , 0.000  , 0.042   , 0.000  , {method 'replace' of 'str' objects}
172507           , 0.148  , 0.000  , 0.148   , 0.000  , {method 'split' of 'str' objects}
500018           , 0.149  , 0.000  , 0.150   , 0.000  , {method 'join' of 'str' objects}
666556           , 0.347  , 0.000  , 0.347   , 0.000  , {method 'count' of 'str' objects}
1475386          , 0.363  , 0.000  , 0.363   , 0.000  , {method 'partition' of 'str' objects}
4303913          , 0.703  , 0.000  , 0.703   , 0.000  , {method 'lower' of 'str' objects}
10               , 0.000  , 0.000  , 0.000   , 0.000  , {method 'lstrip' of 'str' objects}
153              , 0.000  , 0.000  , 0.000   , 0.000  , {method 'rfind' of 'str' objects}
148              , 0.000  , 0.000  , 0.000   , 0.000  , {method 'rstrip' of 'str' objects}
24424            , 0.015  , 0.000  , 0.015   , 0.000  , {method 'rpartition' of 'str' objects}
109              , 0.000  , 0.000  , 0.000   , 0.000  , {method 'upper' of 'str' objects}
2023300          , 0.368  , 0.000  , 0.368   , 0.000  , {method 'startswith' of 'str' objects}
1475432          , 0.236  , 0.000  , 0.236   , 0.000  , {method 'endswith' of 'str' objects}
52195            , 0.108  , 0.000  , 0.108   , 0.000  , {method 'format' of 'str' objects}
618869           , 0.271  , 0.000  , 0.271   , 0.000  , {built-in method __new__ of type object at 0x5649a4c4e240}
112381           , 0.035  , 0.000  , 0.035   , 0.000  , {method 'add' of 'set' objects}
10600            , 0.014  , 0.000  , 0.014   , 0.000  , {method 'difference' of 'set' objects}
15118978         , 2.217  , 0.000  , 2.217   , 0.000  , {function RcParams.__getitem__ at 0x7efc1baa4c20}
5516031          , 0.972  , 0.000  , 0.972   , 0.000  , {method 'get' of 'dict' objects}
5687             , 0.002  , 0.000  , 0.002   , 0.000  , {method 'setdefault' of 'dict' objects}
13653659         , 2.740  , 0.000  , 2.740   , 0.000  , {method 'pop' of 'dict' objects}
16409373         , 1.982  , 0.000  , 1.982   , 0.000  , {method 'items' of 'dict' objects}
1935658          , 0.281  , 0.000  , 0.281   , 0.000  , {method 'values' of 'dict' objects}
1002777          , 0.329  , 0.000  , 0.329   , 0.000  , {method 'update' of 'dict' objects}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method fromkeys}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'clear' of 'dict' objects}
11689            , 0.005  , 0.000  , 0.005   , 0.000  , {method 'copy' of 'dict' objects}
18               , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method from_bytes}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'copy' of 'list' objects}
8215987          , 1.160  , 0.000  , 1.160   , 0.000  , {method 'append' of 'list' objects}
5586             , 0.005  , 0.000  , 0.005   , 0.000  , {method 'insert' of 'list' objects}
73158            , 0.017  , 0.000  , 0.017   , 0.000  , {method 'extend' of 'list' objects}
134649           , 0.067  , 0.000  , 0.067   , 0.000  , {method 'remove' of 'list' objects}
5328             , 0.005  , 0.000  , 0.005   , 0.000  , {method 'index' of 'list' objects}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'count' of 'list' objects}
10               , 0.000  , 0.000  , 0.000   , 0.000  , {method 'reverse' of 'list' objects}
33743            , 0.017  , 0.000  , 0.017   , 0.000  , {method 'sort' of 'list' objects}
6                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'find' of 'bytearray' objects}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'translate' of 'bytearray' objects}
2                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'decode' of 'bytes' objects}
20               , 0.000  , 0.000  , 0.000   , 0.000  , {method 'endswith' of 'bytes' objects}
5587             , 0.173  , 0.000  , 0.173   , 0.000  , {method 'join' of 'bytes' objects}
1                , 0.000  , 0.000  , 0.000   , 0.000  , {method 'rfind' of 'bytes' objects}
20               , 0.000  , 0.000  , 0.000   , 0.000  , {method 'startswith' of 'bytes' objects}
312760           , 0.094  , 0.000  , 0.094   , 0.000  , {built-in method torch._C._get_cudnn_enabled}
11170            , 0.005  , 0.000  , 0.005   , 0.000  , {built-in method torch._C.set_grad_enabled}
11170            , 0.006  , 0.000  , 0.006   , 0.000  , {built-in method torch._C.is_grad_enabled}
94945            , 2.637  , 0.000  , 2.637   , 0.000  , {method 'contiguous' of 'torch._C._TensorBase' objects}
11170            , 2.371  , 0.000  , 2.371   , 0.000  , {method 'cpu' of 'torch._C._TensorBase' objects}
318345           , 0.125  , 0.000  , 0.125   , 0.000  , {method 'dim' of 'torch._C._TensorBase' objects}
